time,target_x,target_y,target_z,target_vx,target_vy,target_vz,chaser_x,chaser_y,chaser_z,chaser_vx,chaser_vy,chaser_vz,target_cx,target_cy,target_cz,chaser_cx,chaser_cy,chaser_cz
0,8000000.000000,0.000000,0.000000,0.000000,7058.686508,0.000000,7999999.750000,1999.999979,0.000000,-1.764672,7058.686288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,7999996.854794,7058.685593,0.000000,-6.228131,7058.683788,0.000000,7999994.843422,9058.634173,-0.000000,-7.986267,7058.582224,-0.000000,0.000000,0.000000,0.000000,0.006535,-0.099786,-0.000000
2,7999987.481458,14117.365690,0.000000,-12.456257,7058.675573,0.000000,7999983.715251,16117.161528,-0.000000,-14.207857,7058.472666,-0.000000,0.000000,0.000000,0.000000,0.006535,-0.099786,-0.000000
3,7999971.880001,21176.034797,0.000000,-18.684374,7058.661862,0.000000,7999966.365497,23175.576550,-0.000000,-20.429434,7058.357612,-0.000000,0.000000,0.000000,0.000000,0.006537,-0.099786,-0.000000
4,7999950.050433,28234.687418,0.000000,-24.912476,7058.642656,0.000000,7999942.794174,30233.873742,-0.000000,-26.650993,7058.237063,-0.000000,0.000000,0.000000,0.000000,0.006539,-0.099786,-0.000000
5,7999921.992773,35293.318057,0.000000,-31.140559,7058.617955,0.000000,7999913.001303,37292.047612,-0.000000,-32.872530,7058.111020,-0.000000,0.000000,0.000000,0.000000,0.006541,-0.099786,-0.000000
6,7999887.707042,42351.921221,0.000000,-37.368618,7058.587758,0.000000,7999876.986909,44350.092663,-0.000000,-39.094038,7057.979482,-0.000000,0.000000,0.000000,0.000000,0.006544,-0.099786,-0.000000
7,7999847.193266,49410.491412,0.000000,-43.596648,7058.552066,0.000000,7999834.751024,51408.003401,-0.000000,-45.315512,7057.842449,-0.000000,0.000000,0.000000,0.000000,0.006548,-0.099785,-0.000000
8,7999800.451477,56469.023137,0.000000,-49.824644,7058.510879,0.000000,7999786.293683,58465.774331,-0.000000,-51.536947,7057.699922,-0.000000,0.000000,0.000000,0.000000,0.006553,-0.099785,-0.000000
9,7999747.481712,63527.510900,0.000000,-56.052601,7058.464197,0.000000,7999731.614930,65523.399960,-0.000000,-57.758337,7057.551901,-0.000000,0.000000,0.000000,0.000000,0.006558,-0.099785,-0.000000
10,7999688.284010,70585.949205,0.000000,-62.280515,7058.412020,0.000000,7999670.714812,72580.874794,-0.000000,-63.979677,7057.398385,-0.000000,0.000000,0.000000,0.000000,0.006564,-0.099784,-0.000000
11,7999622.858420,77644.332558,0.000000,-68.508380,7058.354347,0.000000,7999603.593382,79638.193337,-0.000000,-70.200960,7057.239376,-0.000000,0.000000,0.000000,0.000000,0.006570,-0.099784,-0.000000
12,7999551.204990,84702.655464,0.000000,-74.736192,7058.291180,0.000000,7999530.250700,86695.350097,-0.000000,-76.422182,7057.074873,-0.000000,0.000000,0.000000,0.000000,0.006577,-0.099783,-0.000000
13,7999473.323778,91760.912427,0.000000,-80.963945,7058.222518,0.000000,7999450.686828,93752.339580,-0.000000,-82.643337,7056.904877,-0.000000,0.000000,0.000000,0.000000,0.006585,-0.099783,-0.000000
14,7999389.214843,98819.097953,0.000000,-87.191636,7058.148360,0.000000,7999364.901839,100809.156292,-0.000000,-88.864419,7056.729387,-0.000000,0.000000,0.000000,0.000000,0.006594,-0.099782,-0.000000
15,7999298.878251,105877.206547,0.000000,-93.419259,7058.068708,0.000000,7999272.895806,107865.794740,-0.000000,-95.085423,7056.548404,-0.000000,0.000000,0.000000,0.000000,0.006604,-0.099782,-0.000000
16,7999202.314073,112935.232713,0.000000,-99.646810,7057.983561,0.000000,7999174.668811,114922.249431,-0.000000,-101.306342,7056.361928,-0.000000,0.000000,0.000000,0.000000,0.006614,-0.099781,-0.000000
17,7999099.522383,119993.170958,0.000000,-105.874283,7057.892919,0.000000,7999070.220942,121978.514872,-0.000000,-107.527172,7056.169959,-0.000000,0.000000,0.000000,0.000000,0.006624,-0.099780,-0.000000
18,7998990.503261,127051.015786,0.000000,-112.101673,7057.796782,0.000000,7998959.552290,129034.585571,-0.000000,-113.747907,7055.972498,-0.000000,0.000000,0.000000,0.000000,0.006636,-0.099780,-0.000000
19,7998875.256792,134108.761702,0.000000,-118.328976,7057.695151,0.000000,7998842.662955,136090.456035,-0.000000,-119.968540,7055.769544,-0.000000,0.000000,0.000000,0.000000,0.006649,-0.099779,-0.000000
20,7998753.783066,141166.403213,0.000000,-124.556188,7057.588026,0.000000,7998719.553040,143146.120771,-0.000000,-126.189067,7055.561098,-0.000000,0.000000,0.000000,0.000000,0.006663,-0.099778,-0.000000
21,7998626.082177,148223.934823,0.000000,-130.783302,7057.475405,0.000000,7998590.222655,150201.574288,-0.000000,-132.409480,7055.347160,-0.000000,0.000000,0.000000,0.000000,0.006678,-0.099777,-0.000000
22,7998492.154225,155281.351039,0.000000,-137.010315,7057.357291,0.000000,7998454.671915,157256.811094,-0.000000,-138.629776,7055.127731,-0.000000,0.000000,0.000000,0.000000,0.006693,-0.099776,-0.000000
