time,x,y,z,vx,vy,vz
5.207232267037552447e+02,3.420754440417564979e+01,1.966662360842424505e+03,0.000000000000000000e+00,1.043617721736705001e-01,-1.219013635696831882e-01,0.000000000000000000e+00
5.307371349095966480e+02,3.525116212591235865e+01,1.965443347206727594e+03,0.000000000000000000e+00,1.050031170135167363e-01,-1.238292009354799578e-01,0.000000000000000000e+00
5.407510431154380512e+02,3.630119329604752210e+01,1.964205055197372758e+03,0.000000000000000000e+00,1.056143771396866327e-01,-1.257467181720182958e-01,0.000000000000000000e+00
5.507649513212795682e+02,3.735733706744439075e+01,1.962947588015652627e+03,0.000000000000000000e+00,1.061963504649622858e-01,-1.276540937139147569e-01,0.000000000000000000e+00
5.607788595271209715e+02,3.841930057209401639e+01,1.961671047078513311e+03,0.000000000000000000e+00,1.067498140936997131e-01,-1.295514999563947278e-01,0.000000000000000000e+00
5.707927677329623748e+02,3.948679871303100697e+01,1.960375532078949391e+03,0.000000000000000000e+00,1.072755248572868220e-01,-1.314391034390397228e-01,0.000000000000000000e+00
5.808066759388038918e+02,4.055955396160387494e+01,1.959061141044559008e+03,0.000000000000000000e+00,1.077742198360027714e-01,-1.333170650242712918e-01,0.000000000000000000e+00
5.908205841446452951e+02,4.163729615996390265e+01,1.957727970394316117e+03,0.000000000000000000e+00,1.082466168677380797e-01,-1.351855400707157595e-01,0.000000000000000000e+00
6.008344923504866983e+02,4.271976232864128065e+01,1.956376114993609008e+03,0.000000000000000000e+00,1.086934150434534369e-01,-1.370446786015880325e-01,0.000000000000000000e+00
6.108484005563282153e+02,4.380669647907581066e+01,1.955005668207593089e+03,0.000000000000000000e+00,1.091152951903547608e-01,-1.388946254682379977e-01,0.000000000000000000e+00
6.208623087621696186e+02,4.489784943097936321e+01,1.953616721952910666e+03,0.000000000000000000e+00,1.095129203424849568e-01,-1.407355205089865502e-01,0.000000000000000000e+00
6.308762169680111356e+02,4.599297863440420997e+01,1.952209366747820695e+03,0.000000000000000000e+00,1.098869361995327837e-01,-1.425674987033865859e-01,0.000000000000000000e+00
6.408901251738525389e+02,4.709184799639953667e+01,1.950783691760786951e+03,0.000000000000000000e+00,1.102379715737233784e-01,-1.443906903220316951e-01,0.000000000000000000e+00
6.509040333796939422e+02,4.819422771213676526e+01,1.949339784857566656e+03,0.000000000000000000e+00,1.105666388254758353e-01,-1.462052210720397316e-01,0.000000000000000000e+00
6.609179415855354591e+02,4.929989410039152631e+01,1.947877732646846198e+03,0.000000000000000000e+00,1.108735342878578028e-01,-1.480112122383283602e-01,0.000000000000000000e+00
6.709318497913768624e+02,5.040862944327010098e+01,1.946397620524463036e+03,0.000000000000000000e+00,1.111592386803306604e-01,-1.498087808208006244e-01,0.000000000000000000e+00
6.809457579972183794e+02,5.152022183007340317e+01,1.944899532716254953e+03,0.000000000000000000e+00,1.114243175117857199e-01,-1.515980396675520869e-01,0.000000000000000000e+00
6.909596662030597827e+02,5.263446500519126658e+01,1.943383552319579394e+03,0.000000000000000000e+00,1.116693214733447126e-01,-1.533790976042129217e-01,0.000000000000000000e+00
7.009735744089011860e+02,5.375115821992471155e+01,1.941849761343537011e+03,0.000000000000000000e+00,1.118947868211928320e-01,-1.551520595595311802e-01,0.000000000000000000e+00
7.109874826147427029e+02,5.487010608813664447e+01,1.940298240747941691e+03,0.000000000000000000e+00,1.121012357495827089e-01,-1.569170266873007313e-01,0.000000000000000000e+00
7.210013908205841062e+02,5.599111844563246621e+01,1.938729070481068675e+03,0.000000000000000000e+00,1.122891767542100183e-01,-1.586740964847369040e-01,0.000000000000000000e+00
7.310152990264255095e+02,5.711401021317456639e+01,1.937142329516221253e+03,0.000000000000000000e+00,1.124591049865267950e-01,-1.604233629074003631e-01,0.000000000000000000e+00
7.410292072322670265e+02,5.823860126303983265e+01,1.935538095887147392e+03,0.000000000000000000e+00,1.126115025988365659e-01,-1.621649164807615340e-01,0.000000000000000000e+00
7.510431154381084298e+02,5.936471628902819475e+01,1.933916446722339742e+03,0.000000000000000000e+00,1.127468390805134724e-01,-1.638988444085025253e-01,0.000000000000000000e+00
7.610570236439498331e+02,6.049218467983332914e+01,1.932277458278254699e+03,0.000000000000000000e+00,1.128655715858973840e-01,-1.656252306776484218e-01,0.000000000000000000e+00
7.710709318497913500e+02,6.162084039569230498e+01,1.930621205971478275e+03,0.000000000000000000e+00,1.129681452534121999e-01,-1.673441561606117955e-01,0.000000000000000000e+00
7.810848400556327533e+02,6.275052184822642687e+01,1.928947764409872207e+03,0.000000000000000000e+00,1.130549935169112008e-01,-1.690556987142439738e-01,0.000000000000000000e+00
7.910987482614742703e+02,6.388107178339554082e+01,1.927257207422729834e+03,0.000000000000000000e+00,1.131265384087505460e-01,-1.707599332759698885e-01,0.000000000000000000e+00
8.011126564673156736e+02,6.501233716748303948e+01,1.925549608089970206e+03,0.000000000000000000e+00,1.131831908552417554e-01,-1.724569319570935788e-01,0.000000000000000000e+00
8.111265646731570769e+02,6.614416907603545326e+01,1.923825038770399260e+03,0.000000000000000000e+00,1.132253509645630568e-01,-1.741467641333513672e-01,0.000000000000000000e+00
8.211404728789985938e+02,6.727642258568107536e+01,1.922083571129065604e+03,0.000000000000000000e+00,1.132534083072163633e-01,-1.758294965327900916e-01,0.000000000000000000e+00
8.311543810848399971e+02,6.840895666875324821e+01,1.920325276163737726e+03,0.000000000000000000e+00,1.132677421893435177e-01,-1.775051933210462785e-01,0.000000000000000000e+00
8.411682892906815141e+02,6.954163409064668144e+01,1.918550224230527192e+03,0.000000000000000000e+00,1.132687219190785799e-01,-1.791739161840991412e-01,0.000000000000000000e+00
8.511821974965229174e+02,7.067432130983746674e+01,1.916758485068686241e+03,0.000000000000000000e+00,1.132567070659672298e-01,-1.808357244085679050e-01,0.000000000000000000e+00
8.611961057023643207e+02,7.180688838049714207e+01,1.914950127824600486e+03,0.000000000000000000e+00,1.132320477138193254e-01,-1.824906749596244826e-01,0.000000000000000000e+00
8.712100139082058377e+02,7.293920885763532169e+01,1.913125221075004220e+03,0.000000000000000000e+00,1.131950847070787719e-01,-1.841388225565871450e-01,0.000000000000000000e+00
8.812239221140472409e+02,7.407115970470610478e+01,1.911283832849438113e+03,0.000000000000000000e+00,1.131461498908074986e-01,-1.857802197462611049e-01,0.000000000000000000e+00
8.912378303198886442e+02,7.520262120361418567e+01,1.909426030651975680e+03,0.000000000000000000e+00,1.130855663445973214e-01,-1.874149169740906007e-01,0.000000000000000000e+00
9.012517385257301612e+02,7.633347686706017043e+01,1.907551881482234649e+03,0.000000000000000000e+00,1.130136486103786031e-01,-1.890429626531830443e-01,0.000000000000000000e+00
9.112656467315715645e+02,7.746361335316395014e+01,1.905661451855703035e+03,0.000000000000000000e+00,1.129307029145380226e-01,-1.906644032312674042e-01,0.000000000000000000e+00
9.212795549374129678e+02,7.859292038230931610e+01,1.903754807823390365e+03,0.000000000000000000e+00,1.128370273840595267e-01,-1.922792832556424192e-01,0.000000000000000000e+00
9.312934631432544847e+02,7.972129065614991816e+01,1.901832014990833841e+03,0.000000000000000000e+00,1.127329122574851766e-01,-1.938876454361767587e-01,0.000000000000000000e+00
9.413073713490958880e+02,8.084861977872476757e+01,1.899893138536472179e+03,0.000000000000000000e+00,1.126186400901458967e-01,-1.954895307064100640e-01,0.000000000000000000e+00
9.513212795549374050e+02,8.197480617962622773e+01,1.897938243229408044e+03,0.000000000000000000e+00,1.124944859542290065e-01,-1.970849782828139052e-01,0.000000000000000000e+00
