# time,x,y,z,vx,vy,vz
3.300706771839862199e+02,1.260052084534670939e+03,0.000000000000000000e+00,3.983342483807726653e-02,-4.909928839304211756e-01,0.000000000000000000e+00,4.646464646464646648e+03
3.340540196677939662e+02,1.210952796141628596e+03,0.000000000000000000e+00,3.079762159462182472e-02,-4.974430708428343451e-01,0.000000000000000000e+00,4.747474747474747346e+03
3.371337818272561435e+02,1.161208489057345332e+03,0.000000000000000000e+00,2.156546009349918913e-02,-5.023671277058140427e-01,0.000000000000000000e+00,4.848484848484848044e+03
3.392903278366060249e+02,1.110971776286763998e+03,0.000000000000000000e+00,1.219544082220218144e-02,-5.057324831012439681e-01,0.000000000000000000e+00,4.949494949494949651e+03
3.405098719188262066e+02,1.060398527976639571e+03,0.000000000000000000e+00,2.747133254115225517e-03,-5.075169122186501403e-01,0.000000000000000000e+00,5.050505050505050349e+03
3.407845852442377463e+02,1.009646836754774540e+03,0.000000000000000000e+00,-6.719283979635984685e-03,-5.077087090745973086e-01,0.000000000000000000e+00,5.151515151515151956e+03
3.401126568462741488e+02,9.588759658473147738e+02,0.000000000000000000e+00,-1.614348762154740879e-02,-5.063067776620665539e-01,0.000000000000000000e+00,5.252525252525252654e+03
3.384983080841194010e+02,9.082452880811082423e+02,0.000000000000000000e+00,-2.546547546445815380e-02,-5.033206413255543188e-01,0.000000000000000000e+00,5.353535353535353352e+03
3.359517605376735787e+02,8.579132239485527407e+02,0.000000000000000000e+00,-3.462602960677852587e-02,-4.987703702829628938e-01,0.000000000000000000e+00,5.454545454545454959e+03
3.324891575769956944e+02,8.080361869202564549e+02,0.000000000000000000e+00,-4.356717373747703154e-02,-4.926864278413320419e-01,0.000000000000000000e+00,5.555555555555555657e+03
3.281324402032479952e+02,7.587675441361233197e+02,0.000000000000000000e+00,-5.223262094715007409e-02,-4.851094364753530397e-01,0.000000000000000000e+00,5.656565656565656354e+03
3.229091781085330126e+02,7.102566004885879920e+02,0.000000000000000000e+00,-6.056820863320105247e-02,-4.760898655506808352e-01,0.000000000000000000e+00,5.757575757575757962e+03
3.168523572452128860e+02,6.626476139335198923e+02,0.000000000000000000e+00,-6.852231716495053859e-02,-4.656876430736759942e-01,0.000000000000000000e+00,5.858585858585858659e+03
3.100001255287178310e+02,6.160788496261523051e+02,0.000000000000000000e+00,-7.604626909765163645e-02,-4.539716944308038182e-01,0.000000000000000000e+00,5.959595959595959357e+03
3.023954986189526721e+02,5.706816801830719896e+02,0.000000000000000000e+00,-8.309470587196980673e-02,-4.410194116400845687e-01,0.000000000000000000e+00,6.060606060606060964e+03
2.940860280317556885e+02,5.265797390190634815e+02,0.000000000000000000e+00,-8.962593910639159167e-02,-4.269160571694721185e-01,0.000000000000000000e+00,6.161616161616161662e+03
2.851234341211165315e+02,4.838881333021162732e+02,0.000000000000000000e+00,-9.560227378296824730e-02,-4.117541068787947678e-01,0.000000000000000000e+00,6.262626262626262360e+03
